Year	Month	Abbr.	Title	Arxiv
17	04	SL-GAN	Semi-Latent GAN: Learning to generate and modify facial images from attributes	https://arxiv.org.02166
17	04	Softmax-GAN	Softmax GAN	https://arxiv.org.06191
17	04	TP-GAN	Beyond Face Rotation: Global and Local Perception GAN for Photorealistic and Identity Preserving Frontal View Synthesis	https://arxiv.org.04086
17	04	VariGAN	Multi-View Image Generation from a Single-View	https://arxiv.org.04886
17	04	WGAN-GP	Improved Training of Wasserstein GANs	https://arxiv.org.00028
17	05	CaloGAN	CaloGAN: Simulating 3D High Energy Particle Showers in Multi-Layer Electromagnetic Calorimeters with Generative Adversarial Networks	https://arxiv.org.02355
17	05	GeneGAN	GeneGAN: Learning Object Transfiguration and Attribute Subspace from Unpaired Data	https://arxiv.org.04932
17	05	Geometric GAN	Geometric GAN	https://arxiv.org.02894
17	05	Pose-GAN	The Pose Knows: Video Forecasting by Generating Pose Futures	https://arxiv.org.00053
17	??	DR-GAN	Disentangled Representation Learning GAN for Pose-Invariant Face Recognition	http://cse.msu.edu/~tranluan/publication/allPublication/2017/CVPR_DR_GAN.pdf
??	??	b-GAN	b-GAN: Unified Framework of Generative Adversarial Networks	https://openreview.net/pdf?id=S1JG13oee
